,Tour Leg,Night #,City,Day,Date,Show,Special Guest,Announcement,Mishap?,Notes,Lover Bodysuit,The Man Jacket,Mic1,Lover Guitar,Mic2,Fearless Dress,Guitar,Mic3,Red Shirt,Mic4,Romper,WANEGBT Chant (Kam),ATW Robe,Guitar,Mic5,Speak Now Gown,Koi Fish Guitar,Mic6,Rep Jumpsuit,Mic7,folklore Dress,evermore Dress,Standing Ovation,Cloak,Mic8,Old 1989 Set,New 1989 Top,New 1989 Skirt,L Boot,R Boot,Match?,Mic9,TTPD Dress,Gloves,Choker,Mic10,Smallest Man,Broken Heart Set,Broken Heart Jacket,Mic11,Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Mic12,Surprise Song Dress,Speech?,Mic13,Guitar Surprise Song Album 1,Song 1,Guitar Surprise Song Album 2,Song 2,Guitar Surprise Song Album 3,Song 3,Speech?,Mic14,Piano Surprise Song Album 1,P Song 1,Piano Surprise Song Album 2,P Song 2,Piano Surprise Song Album 3,P Song 3
26,US Leg,2,"East Rutherford, NJ",Saturday,5/27/2023,27,Yes,Yes,No Data,Special Guest Ice Spice to sing Karma ft. Ice Spice,Pink & Blue,Silver Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Green,Orange,3:53,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,No Jacket,Navy Sparkles,Green,Yes,Maroon,Red,Holy Ground,,,,,No,Gold,Lover,False God,,,,
27,US Leg,3,"East Rutherford, NJ",Sunday,5/28/2023,28,Yes,Yes,No Data,Special Guest Ice Spice to sing Karma ft. Ice Spice,Blue & Gold,Black Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Blue Metallic,Red & Black,Snake,Purple,Bronze,2:14,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,No Jacket,Navy Sparkles,Yellow,No,Maroon,1989,Welcome to New York,,,,,Yes,Gold,1989,Clean,,,,
28,US Leg,1,"Chicago, IL",Friday,6/2/2023,29,No,No,No Data,Swiftball was born! ALSO my show :),Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Green,Orange,2:41,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Lines,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,1989,I Wish You Would,,,,,Yes,Gold,folklore,the lakes,,,,
29,US Leg,2,"Chicago, IL",Saturday,6/3/2023,30,Yes,No,No Data,Special Guest Marren Morris to sing You All Over Me,Purple Tassles,Silver Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:42,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Magenta,Navy Sparkles,Green,Yes,Maroon,Fearless,You All Over Me,,,,,No,Gold,Non-Album,I Don't Wanna Live Forever,,,,
30,US Leg,3,"Chicago, IL",Sunday,6/4/2023,31,No,No,Yes,,Blue & Gold,Black Jacket,Blurple Sparkles,Purple Guitar,Rain Mic,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Pink,Orange,1:58,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Lines,Multicolor,Navy Sparkles,Yellow,Yes,Maroon,Midnights,Hits Different,,,,,No,Gold,Red,The Moment I Knew,,,,
31,US Leg,1,"Detroit, MI",Friday,6/9/2023,32,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Green,Orange,1:17,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Lines,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,Haunted,,,,,No,Gold,Red,I Almost Do,,,,
32,US Leg,2,"Detroit, MI",Saturday,6/10/2023,33,No,No,No,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:49,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Magenta,Navy Sparkles,Yellow,Yes,Maroon,1989,All You Had to Do Was Stay,,,,,No,Gold,Fearless,Breathe,,,,
33,US Leg,1,"Pittsburgh, PA",Friday,6/16/2023,34,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Green,Orange,1:53,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Lines,Magenta,Navy Sparkles,Yellow,Yes,Maroon,Fearless,Mr. Perfectly Fine,,,,,No,Gold,Red,The Last Time,,,,
34,US Leg,2,"Pittsburgh, PA",Saturday,6/17/2023,35,Yes,Yes,No,"Special Guest Aaron Dessner, Piano first then Guitar",Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:45,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,The Story of Us,,,,,No,Gold,folklore,seven,,,,
35,US Leg,1,"Minneapolis, MN",Friday,6/23/2023,36,No,No,No,,Blue & Gold,Black Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Purple,Orange,1:25,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Swirls,Multicolor,Navy Sparkles,Green,Yes,Maroon,Lover,Paper Rings,,,,,No,Gold,Fearless,If This Was a Movie,,,,
